# Fichier d'exportation de valeurs de pixels transparents généré par QGIS
#
#
# Rouge	Vert	Blue	Transparence (%)
255	255	255	100
254	254	254	100
253	253	253	100
252	252	252	100
251	251	251	100
250	250	250	100
254	254	255	100
247	245	246	100
253	253	255	100
250	250	252	100
249	249	251	100
255	252	249	100
255	254	255	100
250	246	247	100
255	250	250	100
255	253	254	100
249	249	249	100
254	254	252	100
253	255	254	100
255	253	255	100
253	254	255	100
251	255	255	100
250	248	249	100
252	250	251	100
248	243	247	100
250	255	255	100
246	255	255	100
254	252	253	100
246	246	248	100
251	249	250	100
242	242	244	100
248	248	250	100
249	247	250	100
252	252	254	100
253	251	252	100
252	247	251	100
251	255	254	100
247	247	247	100
245	245	247	100
251	251	253	100
255	255	253	100
253	253	251	100
250	254	253	100
249	255	255	100
249	255	255	100
250	254	255	100
255	252	255	100
250	250	248	100
255	253	244	100
255	255	251	100
254	255	250	100
254	255	250	100
252	252	250	100
252	247	244	100
246	246	246	100
248	248	248	100
248	248	248	100
248	248	246	100
0	0	0	100
248	253	249	100
247	252	248	100
250	249	247	100
255	249	251	100
246	247	242	100
243	248	242	100
245	246	241	100
250	245	242	100
254	245	246	100
247	249	246	100
249	249	247	100
255	248	255	100
247	236	244	100
248	249	244	100
247	248	243	100
249	244	241	100
245	250	244	100
245	252	245	100
248	249	244	100
249	248	244	100
249	248	244	100
247	247	245	100
246	248	245	100
243	252	251	100
254	255	251	100
240	252	250	100
254	254	242	100
0	0	0	100
253	255	244	100
